zipCode,disasterNumber,sum_approvedForFemaAssistanceOwners,sum_totalApprovedIhpAmountOwners,sum_repairReplaceAmountOwners,sum_rentalAmountOwners,sum_otherNeedsAmountOwners,sum_approvedBetween1And10000Owners,sum_approvedBetween100001And25000Owners,sum_approvedBetween25001AndMaxOwners,sum_totalMaxGrantsOwners,sum_approvedForFemaAssistanceRenters,sum_totalApprovedIhpAmountRenters,sum_rentalAmountRenters,sum_otherNeedsAmountRenters,sum_approvedBetween1And10000Renters,sum_approvedBetween100001And25000Renters,sum_approvedBetween25001AndMaxRenters,sum_totalMaxGrantsRenters,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,id,hash,lastRefresh,declarationYear,average_assistance_per_owner,average_assistance_per_renter,total_approved_fema_assistance,total_approved_Ihp_amount,city,after_2020_only,latitude,longitude
37701,4293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2016-12-15T00:00:00.000Z,WILDFIRES,2016-11-28T00:00:00.000Z,2016-12-09T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Fire,2016-12-15T00:00:00.000Z,2016-12-15T00:00:00.000Z,,4.0,1.0,0.0,1.0,1.0,,2016-12-09T00:00:00.000Z,e9b828bb-7b9f-458c-8bfa-f8ded3262e16,4639c0e80d3398a34cb852551bf3bf412f9add59,2024-10-09T19:01:58.075Z,2016,,,,,"Alcoa, Tennessee",No,35.7895271,-83.9737935
37722,4293,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-15T00:00:00.000Z,WILDFIRES,2016-11-28T00:00:00.000Z,2016-12-09T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Fire,2016-12-15T00:00:00.000Z,2016-12-15T00:00:00.000Z,,4.0,1.0,0.0,1.0,1.0,,2016-12-09T00:00:00.000Z,e9b828bb-7b9f-458c-8bfa-f8ded3262e16,4639c0e80d3398a34cb852551bf3bf412f9add59,2024-10-09T19:01:58.075Z,2016,,,,,"Cosby, Tennessee",No,35.8154772,-83.2477597
37738,4293,42.0,1015554.36,938579.42,50458.0,26516.94,6.0,5.0,31.0,28.0,368.0,2125712.41,493317.7,1624225.26,308.0,59.0,1.0,1.0,2016-12-15T00:00:00.000Z,WILDFIRES,2016-11-28T00:00:00.000Z,2016-12-09T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Fire,2016-12-15T00:00:00.000Z,2016-12-15T00:00:00.000Z,,4.0,1.0,0.0,1.0,1.0,,2016-12-09T00:00:00.000Z,e9b828bb-7b9f-458c-8bfa-f8ded3262e16,4639c0e80d3398a34cb852551bf3bf412f9add59,2024-10-09T19:01:58.075Z,2016,24179.865714285716,5776.392418478261,410.0,3141266.77,"Gatlinburg, Tennessee",No,35.714259,-83.5101638
37764,4293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-15T00:00:00.000Z,WILDFIRES,2016-11-28T00:00:00.000Z,2016-12-09T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Fire,2016-12-15T00:00:00.000Z,2016-12-15T00:00:00.000Z,,4.0,1.0,0.0,1.0,1.0,,2016-12-09T00:00:00.000Z,e9b828bb-7b9f-458c-8bfa-f8ded3262e16,4639c0e80d3398a34cb852551bf3bf412f9add59,2024-10-09T19:01:58.075Z,2016,,,0.0,0.0,"Kodak, Tennessee",No,35.9745743,-83.62708959999999
37821,4293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-15T00:00:00.000Z,WILDFIRES,2016-11-28T00:00:00.000Z,2016-12-09T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Fire,2016-12-15T00:00:00.000Z,2016-12-15T00:00:00.000Z,,4.0,1.0,0.0,1.0,1.0,,2016-12-09T00:00:00.000Z,e9b828bb-7b9f-458c-8bfa-f8ded3262e16,4639c0e80d3398a34cb852551bf3bf412f9add59,2024-10-09T19:01:58.075Z,2016,,,0.0,0.0,"Newport, Tennessee",No,35.9677665,-83.1873541
37862,4293,3.0,48600.33,32539.19,3402.0,12659.14,1.0,0.0,2.0,1.0,1.0,10646.37,1982.0,8664.37,0.0,1.0,0.0,0.0,2016-12-15T00:00:00.000Z,WILDFIRES,2016-11-28T00:00:00.000Z,2016-12-09T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Fire,2016-12-15T00:00:00.000Z,2016-12-15T00:00:00.000Z,,4.0,1.0,0.0,1.0,1.0,,2016-12-09T00:00:00.000Z,e9b828bb-7b9f-458c-8bfa-f8ded3262e16,4639c0e80d3398a34cb852551bf3bf412f9add59,2024-10-09T19:01:58.075Z,2016,16200.11,10646.37,4.0,59246.700000000004,"Sevierville, Tennessee",No,35.8681455,-83.56183500000002
37863,4293,2.0,13180.58,0.0,2384.0,10796.58,0.0,2.0,0.0,0.0,5.0,19809.72,11184.0,8625.72,4.0,1.0,0.0,0.0,2016-12-15T00:00:00.000Z,WILDFIRES,2016-11-28T00:00:00.000Z,2016-12-09T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Fire,2016-12-15T00:00:00.000Z,2016-12-15T00:00:00.000Z,,4.0,1.0,0.0,1.0,1.0,,2016-12-09T00:00:00.000Z,e9b828bb-7b9f-458c-8bfa-f8ded3262e16,4639c0e80d3398a34cb852551bf3bf412f9add59,2024-10-09T19:01:58.075Z,2016,6590.29,3961.9440000000004,7.0,32990.3,"Pigeon Forge, Tennessee",No,35.7884241,-83.55433289999999
37865,4293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-15T00:00:00.000Z,WILDFIRES,2016-11-28T00:00:00.000Z,2016-12-09T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Fire,2016-12-15T00:00:00.000Z,2016-12-15T00:00:00.000Z,,4.0,1.0,0.0,1.0,1.0,,2016-12-09T00:00:00.000Z,e9b828bb-7b9f-458c-8bfa-f8ded3262e16,4639c0e80d3398a34cb852551bf3bf412f9add59,2024-10-09T19:01:58.075Z,2016,,,0.0,0.0,"Seymour, Tennessee",No,35.8725599,-83.77401979999999
37871,4293,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-15T00:00:00.000Z,WILDFIRES,2016-11-28T00:00:00.000Z,2016-12-09T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Fire,2016-12-15T00:00:00.000Z,2016-12-15T00:00:00.000Z,,4.0,1.0,0.0,1.0,1.0,,2016-12-09T00:00:00.000Z,e9b828bb-7b9f-458c-8bfa-f8ded3262e16,4639c0e80d3398a34cb852551bf3bf412f9add59,2024-10-09T19:01:58.075Z,2016,,,,,"Strawberry Plains, Tennessee",No,36.06314140000001,-83.6860109
37876,4293,6.0,106417.27,95312.0,6972.0,4133.27,2.0,1.0,3.0,3.0,15.0,93438.25,17468.0,74561.22,11.0,4.0,0.0,0.0,2016-12-15T00:00:00.000Z,WILDFIRES,2016-11-28T00:00:00.000Z,2016-12-09T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Fire,2016-12-15T00:00:00.000Z,2016-12-15T00:00:00.000Z,,4.0,1.0,0.0,1.0,1.0,,2016-12-09T00:00:00.000Z,e9b828bb-7b9f-458c-8bfa-f8ded3262e16,4639c0e80d3398a34cb852551bf3bf412f9add59,2024-10-09T19:01:58.075Z,2016,17736.211666666666,6229.216666666666,21.0,199855.52000000002,"Sevierville, Tennessee",No,35.8681455,-83.56183500000002
