city,after_2020_only,latitude,longitude,total_approved_Ihp_amount,total_approved_fema_assistance,declarationYear
"Los Angeles, California",No,34.0549076,-118.242643,,,2018
"Los Angeles, California",No,34.0549076,-118.242643,0.0,0.0,2020
"Los Angeles, California",No,34.0549076,-118.242643,1840.0,2.0,2025
"Los Angeles, California",No,34.0549076,-118.242643,,,2018
"Los Angeles, California",No,34.0549076,-118.242643,,,2018
"Los Angeles, California",No,34.0549076,-118.242643,0.0,0.0,2020
"Los Angeles, California",No,34.0549076,-118.242643,11309.61,7.0,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,,,2020
"Los Angeles, California",Yes,34.0549076,-118.242643,770.0,1.0,2025
"Los Angeles, California",No,34.0549076,-118.242643,,,2007
"Los Angeles, California",No,34.0549076,-118.242643,0.0,0.0,2020
"Los Angeles, California",No,34.0549076,-118.242643,67932.1,83.0,2025
"West Hollywood, California",No,34.0900091,-118.3617443,0.0,0.0,2020
"West Hollywood, California",No,34.0900091,-118.3617443,6590.0,7.0,2025
"Los Angeles, California",No,34.0549076,-118.242643,,,2008
"Los Angeles, California",No,34.0549076,-118.242643,,,2020
"Los Angeles, California",No,34.0549076,-118.242643,0.0,0.0,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,0.0,0.0,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,,,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,,,2025
"Los Angeles, California",No,34.0549076,-118.242643,0.0,0.0,2018
"Los Angeles, California",No,34.0549076,-118.242643,,,2018
"Los Angeles, California",No,34.0549076,-118.242643,0.0,0.0,2020
"Los Angeles, California",No,34.0549076,-118.242643,14686.38,8.0,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,0.0,0.0,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,0.0,0.0,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,,,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,0.0,0.0,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,,,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,,,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,0.0,0.0,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,,,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,,,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,,,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,,,2025
"Playa Vista, California",No,33.9792232,-118.4138353,,,2020
"Playa Vista, California",No,33.9792232,-118.4138353,171.99,1.0,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,0.0,0.0,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,0.0,0.0,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,0.0,0.0,2025
Error,Yes,,,,,2025
"Los Angeles, California",Yes,34.0549076,-118.242643,,,2025
"Bell Gardens, California",No,33.9652918,-118.1514588,,,2008
"Bell Gardens, California",No,33.9652918,-118.1514588,,,2018
"Bell Gardens, California",No,33.9652918,-118.1514588,,,2020
"Bell Gardens, California",No,33.9652918,-118.1514588,0.0,0.0,2020
"Bell Gardens, California",No,33.9652918,-118.1514588,6108.38,3.0,2025
"Beverly Hills, California",No,34.0736204,-118.4003563,,,2018
"Beverly Hills, California",No,34.0736204,-118.4003563,,,2018
"Beverly Hills, California",No,34.0736204,-118.4003563,0.0,0.0,2018
"Beverly Hills, California",No,34.0736204,-118.4003563,0.0,0.0,2020
"Beverly Hills, California",No,34.0736204,-118.4003563,1711.99,3.0,2025
"Beverly Hills, California",No,34.0736204,-118.4003563,,,2008
"Beverly Hills, California",No,34.0736204,-118.4003563,,,2020
"Beverly Hills, California",No,34.0736204,-118.4003563,0.0,0.0,2020
"Beverly Hills, California",No,34.0736204,-118.4003563,8554.38,4.0,2025
"Beverly Hills, California",No,34.0736204,-118.4003563,,,2008
"Beverly Hills, California",No,34.0736204,-118.4003563,,,2020
"Beverly Hills, California",No,34.0736204,-118.4003563,0.0,0.0,2020
"Beverly Hills, California",No,34.0736204,-118.4003563,1840.0,2.0,2025
"Beverly Hills, California",Yes,34.0736204,-118.4003563,,,2025
"Compton, California",No,33.8958492,-118.2200712,,,2007
"Compton, California",No,33.8958492,-118.2200712,1378.81,3.0,2008
"Compton, California",No,33.8958492,-118.2200712,,,2018
"Compton, California",No,33.8958492,-118.2200712,0.0,0.0,2018
"Compton, California",No,33.8958492,-118.2200712,0.0,0.0,2020
"Compton, California",No,33.8958492,-118.2200712,2801.33,2.0,2025
"Compton, California",No,33.8958492,-118.2200712,,,2007
"Compton, California",No,33.8958492,-118.2200712,676.41,2.0,2008
"Compton, California",No,33.8958492,-118.2200712,,,2018
"Compton, California",No,33.8958492,-118.2200712,0.0,0.0,2020
"Compton, California",No,33.8958492,-118.2200712,18697.879999999997,4.0,2025
"Compton, California",No,33.8958492,-118.2200712,,,2007
"Compton, California",No,33.8958492,-118.2200712,1216.2,2.0,2008
"Compton, California",No,33.8958492,-118.2200712,0.0,0.0,2018
"Compton, California",No,33.8958492,-118.2200712,0.0,0.0,2020
"Compton, California",No,33.8958492,-118.2200712,5726.98,4.0,2025
"Culver City, California",No,34.0211224,-118.3964665,,,2018
"Culver City, California",No,34.0211224,-118.3964665,0.0,0.0,2020
"Culver City, California",No,34.0211224,-118.3964665,787.97,4.0,2025
"Culver City, California",Yes,34.0211224,-118.3964665,,,2020
"Culver City, California",Yes,34.0211224,-118.3964665,,,2020
"Culver City, California",No,34.0211224,-118.3964665,0.0,0.0,2020
"Culver City, California",No,34.0211224,-118.3964665,3851.99,4.0,2025
"Downey, California",Yes,33.9401088,-118.1331593,,,2020
"Downey, California",No,33.9401088,-118.1331593,0.0,0.0,2020
"Downey, California",No,33.9401088,-118.1331593,0.0,0.0,2025
"Downey, California",No,33.9401088,-118.1331593,,,2008
"Downey, California",No,33.9401088,-118.1331593,,,2018
"Downey, California",No,33.9401088,-118.1331593,0.0,0.0,2020
"Downey, California",No,33.9401088,-118.1331593,0.0,0.0,2025
"Downey, California",No,33.9401088,-118.1331593,,,2008
"Downey, California",No,33.9401088,-118.1331593,,,2018
"Downey, California",No,33.9401088,-118.1331593,0.0,0.0,2020
"Downey, California",No,33.9401088,-118.1331593,770.0,1.0,2025
Error,Yes,,,,,2025
"El Segundo, California",No,33.9191799,-118.4164652,0.0,0.0,2020
"El Segundo, California",No,33.9191799,-118.4164652,0.0,0.0,2025
"Gardena, California",No,33.8883487,-118.3089624,,,2008
"Gardena, California",No,33.8883487,-118.3089624,,,2018
"Gardena, California",No,33.8883487,-118.3089624,0.0,0.0,2020
"Gardena, California",No,33.8883487,-118.3089624,6504.0,4.0,2025
"Gardena, California",No,33.8883487,-118.3089624,,,2020
"Gardena, California",No,33.8883487,-118.3089624,7331.52,3.0,2025
"Gardena, California",No,33.8883487,-118.3089624,,,2007
"Gardena, California",No,33.8883487,-118.3089624,0.0,0.0,2008
"Gardena, California",No,33.8883487,-118.3089624,,,2018
"Gardena, California",No,33.8883487,-118.3089624,0.0,0.0,2020
"Gardena, California",No,33.8883487,-118.3089624,13253.22,4.0,2025
"Hawthorne, California",No,33.9164032,-118.3525748,,,2007
"Hawthorne, California",No,33.9164032,-118.3525748,826.91,2.0,2008
"Hawthorne, California",No,33.9164032,-118.3525748,,,2018
"Hawthorne, California",No,33.9164032,-118.3525748,,,2020
"Hawthorne, California",No,33.9164032,-118.3525748,0.0,0.0,2020
"Hawthorne, California",No,33.9164032,-118.3525748,18429.02,8.0,2025
"Hermosa Beach, California",No,33.8622366,-118.3995194,0.0,0.0,2020
"Hermosa Beach, California",No,33.8622366,-118.3995194,0.0,0.0,2025
"Huntington Park, California",No,33.9816812,-118.2250725,0.0,0.0,2020
"Huntington Park, California",No,33.9816812,-118.2250725,4592.0,1.0,2025
"Lawndale, California",No,33.887237,-118.3525744,,,2018
"Lawndale, California",No,33.887237,-118.3525744,0.0,0.0,2020
"Lawndale, California",No,33.887237,-118.3525744,0.0,0.0,2025
"Lynwood, California",No,33.930293,-118.2114603,,,2007
"Lynwood, California",No,33.930293,-118.2114603,,,2008
"Lynwood, California",No,33.930293,-118.2114603,,,2018
"Lynwood, California",No,33.930293,-118.2114603,,,2018
"Lynwood, California",No,33.930293,-118.2114603,,,2020
"Lynwood, California",No,33.930293,-118.2114603,0.0,0.0,2025
"Malibu, California",No,34.0380585,-118.6923438,,,2007
"Malibu, California",No,34.0380585,-118.6923438,0.0,0.0,2018
"Malibu, California",No,34.0380585,-118.6923438,,,2025
"Malibu, California",No,34.0380585,-118.6923438,,,2007
"Malibu, California",No,34.0380585,-118.6923438,,,2017
"Malibu, California",No,34.0380585,-118.6923438,,,2018
"Malibu, California",No,34.0380585,-118.6923438,4157015.6400000006,489.0,2018
"Malibu, California",No,34.0380585,-118.6923438,,,2020
"Malibu, California",No,34.0380585,-118.6923438,0.0,0.0,2020
"Malibu, California",No,34.0380585,-118.6923438,2702575.99,1024.0,2025
"Manhattan Beach, California",No,33.8847361,-118.4109089,,,2018
"Manhattan Beach, California",No,33.8847361,-118.4109089,0.0,0.0,2020
"Manhattan Beach, California",No,33.8847361,-118.4109089,0.0,0.0,2025
"Maywood, California",No,33.9866807,-118.185349,,,2020
"Maywood, California",No,33.9866807,-118.185349,0.0,0.0,2025
"Pacific Palisades, California",No,34.0467365,-118.546434,,,2018
"Pacific Palisades, California",No,34.0467365,-118.546434,0.0,0.0,2018
"Pacific Palisades, California",No,34.0467365,-118.546434,0.0,0.0,2020
"Pacific Palisades, California",No,34.0467365,-118.546434,14180747.17,5474.0,2025
"Palos Verdes Peninsula, California",Yes,33.7683844,-118.3492165,7116.41,1.0,2020
"Palos Verdes Peninsula, California",Yes,33.7683844,-118.3492165,0.0,0.0,2025
"Rancho Palos Verdes, California",No,33.7444613,-118.3870173,,,2018
"Rancho Palos Verdes, California",No,33.7444613,-118.3870173,0.0,0.0,2020
"Rancho Palos Verdes, California",No,33.7444613,-118.3870173,770.0,1.0,2025
"Redondo Beach, California",No,33.8491816,-118.3884078,,,2018
"Redondo Beach, California",No,33.8491816,-118.3884078,,,2020
"Redondo Beach, California",No,33.8491816,-118.3884078,0.0,0.0,2020
"Redondo Beach, California",No,33.8491816,-118.3884078,1840.0,2.0,2025
"Redondo Beach, California",No,33.8491816,-118.3884078,,,2018
"Redondo Beach, California",No,33.8491816,-118.3884078,0.0,0.0,2020
"Redondo Beach, California",No,33.8491816,-118.3884078,6133.51,2.0,2025
"South Gate, California",No,33.954737,-118.2120161,,,2008
"South Gate, California",No,33.954737,-118.2120161,,,2018
"South Gate, California",No,33.954737,-118.2120161,0.0,0.0,2020
"South Gate, California",No,33.954737,-118.2120161,1840.0,2.0,2025
"Topanga, California",No,34.0896009,-118.6043689,,,2007
"Topanga, California",No,34.0896009,-118.6043689,,,2008
"Topanga, California",No,34.0896009,-118.6043689,0.0,0.0,2018
"Topanga, California",No,34.0896009,-118.6043689,0.0,0.0,2020
"Topanga, California",No,34.0896009,-118.6043689,767230.49,767.0,2025
"Venice, California",No,33.994091,-118.4527302,,,2018
"Venice, California",No,33.994091,-118.4527302,0.0,0.0,2020
"Venice, California",No,33.994091,-118.4527302,6991.95,8.0,2025
"Marina Del Rey, California",No,33.9802893,-118.4517449,0.0,0.0,2020
"Marina Del Rey, California",No,33.9802893,-118.4517449,9385.98,7.0,2025
"Playa Del Rey, California",Yes,33.9564064,-118.4424524,,,2020
"Playa Del Rey, California",Yes,33.9564064,-118.4424524,0.0,0.0,2025
"Marina Del Rey, California",Yes,33.9802893,-118.4517449,,,2025
"Inglewood, California",No,33.9616801,-118.3531311,,,2008
"Inglewood, California",No,33.9616801,-118.3531311,0.0,0.0,2020
"Inglewood, California",No,33.9616801,-118.3531311,3380.0,4.0,2025
"Inglewood, California",No,33.9616801,-118.3531311,,,2008
"Inglewood, California",No,33.9616801,-118.3531311,,,2018
"Inglewood, California",No,33.9616801,-118.3531311,,,2018
"Inglewood, California",No,33.9616801,-118.3531311,0.0,0.0,2020
"Inglewood, California",No,33.9616801,-118.3531311,770.0,1.0,2025
"Inglewood, California",No,33.9616801,-118.3531311,,,2007
"Inglewood, California",No,33.9616801,-118.3531311,830.96,2.0,2008
"Inglewood, California",No,33.9616801,-118.3531311,,,2018
"Inglewood, California",No,33.9616801,-118.3531311,0.0,0.0,2020
"Inglewood, California",No,33.9616801,-118.3531311,0.0,0.0,2025
"Inglewood, California",No,33.9616801,-118.3531311,0.0,0.0,2020
"Inglewood, California",No,33.9616801,-118.3531311,1070.0,1.0,2025
"Inglewood, California",No,33.9616801,-118.3531311,0.0,0.0,2008
"Inglewood, California",No,33.9616801,-118.3531311,,,2018
"Inglewood, California",No,33.9616801,-118.3531311,,,2020
"Inglewood, California",No,33.9616801,-118.3531311,0.0,0.0,2020
"Inglewood, California",No,33.9616801,-118.3531311,6902.0,4.0,2025
"Santa Monica, California",No,34.0164198,-118.4951909,,,2008
"Santa Monica, California",No,34.0164198,-118.4951909,,,2018
"Santa Monica, California",No,34.0164198,-118.4951909,8606.35,8.0,2025
"Santa Monica, California",No,34.0164198,-118.4951909,,,2018
"Santa Monica, California",No,34.0164198,-118.4951909,,,2018
"Santa Monica, California",No,34.0164198,-118.4951909,,,2020
"Santa Monica, California",No,34.0164198,-118.4951909,510749.36,372.0,2025
"Santa Monica, California",No,34.0164198,-118.4951909,,,2018
"Santa Monica, California",No,34.0164198,-118.4951909,3210.0,1.0,2020
"Santa Monica, California",No,34.0164198,-118.4951909,37858.36,33.0,2025
"Santa Monica, California",No,34.0164198,-118.4951909,0.0,0.0,2020
"Santa Monica, California",No,34.0164198,-118.4951909,16396.23,9.0,2025
"Santa Monica, California",No,34.0164198,-118.4951909,0.0,0.0,2018
"Santa Monica, California",No,34.0164198,-118.4951909,,,2020
"Santa Monica, California",No,34.0164198,-118.4951909,0.0,0.0,2020
"Santa Monica, California",No,34.0164198,-118.4951909,22237.35,14.0,2025
"Santa Monica, California",Yes,34.0164198,-118.4951909,,,2025
"Santa Monica, California",Yes,34.0164198,-118.4951909,,,2025
"Santa Monica, California",Yes,34.0164198,-118.4951909,,,2025
"Torrance, California",No,33.8358492,-118.3406288,,,2007
"Torrance, California",No,33.8358492,-118.3406288,,,2008
"Torrance, California",No,33.8358492,-118.3406288,0.0,0.0,2020
"Torrance, California",No,33.8358492,-118.3406288,6133.51,2.0,2025
"Torrance, California",No,33.8358492,-118.3406288,,,2008
"Torrance, California",No,33.8358492,-118.3406288,,,2018
"Torrance, California",No,33.8358492,-118.3406288,0.0,0.0,2020
"Torrance, California",No,33.8358492,-118.3406288,1070.0,1.0,2025
"Torrance, California",No,33.8358492,-118.3406288,0.0,0.0,2020
"Torrance, California",No,33.8358492,-118.3406288,770.0,1.0,2025
"Torrance, California",No,33.8358492,-118.3406288,0.0,0.0,2020
"Torrance, California",No,33.8358492,-118.3406288,0.0,0.0,2025
"Torrance, California",No,33.8358492,-118.3406288,,,2018
"Torrance, California",No,33.8358492,-118.3406288,0.0,0.0,2020
"Torrance, California",No,33.8358492,-118.3406288,0.0,0.0,2025
"Whittier, California",No,33.9791793,-118.032844,,,2018
"Whittier, California",No,33.9791793,-118.032844,0.0,0.0,2020
"Whittier, California",No,33.9791793,-118.032844,0.0,0.0,2025
"Whittier, California",No,33.9791793,-118.032844,0.0,0.0,2020
"Whittier, California",No,33.9791793,-118.032844,770.0,1.0,2025
"Whittier, California",Yes,33.9791793,-118.032844,,,2020
"Whittier, California",Yes,33.9791793,-118.032844,0.0,0.0,2025
"Whittier, California",No,33.9791793,-118.032844,0.0,0.0,2020
"Whittier, California",No,33.9791793,-118.032844,1540.0,2.0,2025
"Whittier, California",No,33.9791793,-118.032844,,,2018
"Whittier, California",No,33.9791793,-118.032844,0.0,0.0,2020
"Whittier, California",No,33.9791793,-118.032844,0.0,0.0,2025
"Whittier, California",No,33.9791793,-118.032844,,,2007
"Whittier, California",No,33.9791793,-118.032844,,,2020
"Whittier, California",No,33.9791793,-118.032844,0.0,0.0,2025
"Buena Park, California",No,33.8674044,-117.9981387,,,2008
"Buena Park, California",No,33.8674044,-117.9981387,500.0,1.0,2017
"Buena Park, California",No,33.8674044,-117.9981387,,,2008
"Buena Park, California",No,33.8674044,-117.9981387,500.0,1.0,2017
"La Palma, California",No,33.8463218,-118.0461393,0.0,0.0,2017
"Cypress, California",No,33.8169366,-118.0368507,0.0,0.0,2017
"La Habra, California",No,33.9318591,-117.946137,,,2007
"La Habra, California",No,33.9318591,-117.946137,1000.0,2.0,2017
"La Habra, California",No,33.9318591,-117.946137,,,2020
"La Habra, California",No,33.9318591,-117.946137,,,2025
"La Mirada, California",No,33.9172357,-118.0120086,0.0,0.0,2020
"La Mirada, California",No,33.9172357,-118.0120086,770.0,1.0,2025
"La Mirada, California",Yes,33.9172357,-118.0120086,,,2025
"Montebello, California",No,34.0165053,-118.1137535,,,2018
"Montebello, California",No,34.0165053,-118.1137535,,,2018
"Montebello, California",No,34.0165053,-118.1137535,0.0,0.0,2020
"Montebello, California",No,34.0165053,-118.1137535,0.0,0.0,2025
"Norwalk, California",No,33.9022367,-118.081733,,,2018
"Norwalk, California",No,33.9022367,-118.081733,,,2018
"Norwalk, California",No,33.9022367,-118.081733,,,2020
"Norwalk, California",No,33.9022367,-118.081733,0.0,0.0,2020
"Norwalk, California",No,33.9022367,-118.081733,10921.89,3.0,2025
"Pico Rivera, California",No,33.9830688,-118.096735,0.0,0.0,2018
"Pico Rivera, California",No,33.9830688,-118.096735,0.0,0.0,2020
"Pico Rivera, California",No,33.9830688,-118.096735,770.0,1.0,2025
"Santa Fe Springs, California",No,33.9472359,-118.0853451,0.0,0.0,2020
"Santa Fe Springs, California",No,33.9472359,-118.0853451,0.0,0.0,2025
"Stanton, California",No,33.8028875,-117.9931203,500.0,1.0,2017
"Artesia, California",No,33.8658484,-118.0831212,0.0,0.0,2020
"Artesia, California",No,33.8658484,-118.0831212,0.0,0.0,2025
"Artesia, California",Yes,33.8658484,-118.0831212,,,2025
"Cerritos, California",No,33.8583483,-118.0647871,,,2007
"Cerritos, California",No,33.8583483,-118.0647871,,,2018
"Cerritos, California",No,33.8583483,-118.0647871,0.0,0.0,2020
"Cerritos, California",No,33.8583483,-118.0647871,0.0,0.0,2025
"Avalon, California",Yes,33.3428193,-118.3282279,,,2025
"Bellflower, California",No,33.8816818,-118.1170117,,,2007
"Bellflower, California",No,33.8816818,-118.1170117,,,2008
"Bellflower, California",No,33.8816818,-118.1170117,,,2018
"Bellflower, California",No,33.8816818,-118.1170117,0.0,0.0,2020
"Bellflower, California",No,33.8816818,-118.1170117,10729.03,2.0,2025
"Bellflower, California",Yes,33.8816818,-118.1170117,,,2025
"Harbor City, California",No,33.7899467,-118.2975261,0.0,0.0,2020
"Harbor City, California",No,33.7899467,-118.2975261,0.0,0.0,2025
"Lakewood, California",No,33.8536269,-118.1339563,,,2008
"Lakewood, California",No,33.8536269,-118.1339563,,,2018
"Lakewood, California",No,33.8536269,-118.1339563,0.0,0.0,2020
"Lakewood, California",No,33.8536269,-118.1339563,0.0,0.0,2025
"Lakewood, California",No,33.8536269,-118.1339563,,,2007
"Lakewood, California",No,33.8536269,-118.1339563,,,2018
"Lakewood, California",No,33.8536269,-118.1339563,,,2020
"Lakewood, California",No,33.8536269,-118.1339563,0.0,0.0,2020
"Lakewood, California",No,33.8536269,-118.1339563,0.0,0.0,2025
"Lakewood, California",No,33.8536269,-118.1339563,0.0,0.0,2008
"Lakewood, California",No,33.8536269,-118.1339563,,,2020
"Lakewood, California",No,33.8536269,-118.1339563,0.0,0.0,2020
"Lakewood, California",No,33.8536269,-118.1339563,770.0,1.0,2025
"Hawaiian Gardens, California",No,33.8314045,-118.0728424,0.0,0.0,2020
"Hawaiian Gardens, California",No,33.8314045,-118.0728424,0.0,0.0,2025
"Lomita, California",No,33.7922392,-118.3150722,0.0,0.0,2020
"Lomita, California",No,33.7922392,-118.3150722,0.0,0.0,2025
"Los Alamitos, California",No,33.8032009,-118.0718894,,,2017
"Paramount, California",No,33.8894598,-118.1597911,,,2008
"Paramount, California",No,33.8894598,-118.1597911,0.0,0.0,2020
"Paramount, California",No,33.8894598,-118.1597911,7160.56,2.0,2025
"San Pedro, California",No,33.7360696,-118.2923791,,,2018
"San Pedro, California",No,33.7360696,-118.2923791,0.0,0.0,2020
"San Pedro, California",No,33.7360696,-118.2923791,2310.0,3.0,2025
"San Pedro, California",No,33.7360696,-118.2923791,,,2018
"San Pedro, California",No,33.7360696,-118.2923791,0.0,0.0,2020
"San Pedro, California",No,33.7360696,-118.2923791,0.0,0.0,2025
"Seal Beach, California",No,33.7414085,-118.1047682,0.0,0.0,2017
"Wilmington, California",No,33.7911608,-118.2633204,,,2007
"Wilmington, California",No,33.7911608,-118.2633204,,,2008
"Wilmington, California",No,33.7911608,-118.2633204,0.0,0.0,2020
"Wilmington, California",No,33.7911608,-118.2633204,770.0,1.0,2025
"Carson, California",No,33.8316745,-118.281693,,,2007
"Carson, California",No,33.8316745,-118.281693,300.0,1.0,2008
"Carson, California",No,33.8316745,-118.281693,,,2018
"Carson, California",No,33.8316745,-118.281693,,,2018
"Carson, California",No,33.8316745,-118.281693,0.0,0.0,2020
"Carson, California",No,33.8316745,-118.281693,5063.99,2.0,2025
"Carson, California",No,33.8316745,-118.281693,0.0,0.0,2008
"Carson, California",No,33.8316745,-118.281693,,,2018
"Carson, California",No,33.8316745,-118.281693,1256.03,1.0,2020
"Carson, California",No,33.8316745,-118.281693,2333.97,2.0,2025
"Signal Hill, California",No,33.8044614,-118.1678456,,,2008
"Signal Hill, California",No,33.8044614,-118.1678456,0.0,0.0,2020
"Signal Hill, California",No,33.8044614,-118.1678456,0.0,0.0,2025
"Long Beach, California",No,33.7700504,-118.1937395,,,2007
"Long Beach, California",No,33.7700504,-118.1937395,,,2008
"Long Beach, California",No,33.7700504,-118.1937395,,,2018
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2020
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2025
"Long Beach, California",No,33.7700504,-118.1937395,,,2007
"Long Beach, California",No,33.7700504,-118.1937395,,,2008
"Long Beach, California",No,33.7700504,-118.1937395,,,2018
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2020
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2025
"Long Beach, California",No,33.7700504,-118.1937395,,,2007
"Long Beach, California",No,33.7700504,-118.1937395,,,2008
"Long Beach, California",No,33.7700504,-118.1937395,,,2018
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2020
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2025
"Long Beach, California",No,33.7700504,-118.1937395,,,2007
"Long Beach, California",No,33.7700504,-118.1937395,5341.93,10.0,2008
"Long Beach, California",No,33.7700504,-118.1937395,,,2018
"Long Beach, California",No,33.7700504,-118.1937395,4259.68,1.0,2020
"Long Beach, California",No,33.7700504,-118.1937395,12508.34,6.0,2025
"Long Beach, California",No,33.7700504,-118.1937395,,,2007
"Long Beach, California",No,33.7700504,-118.1937395,830.96,2.0,2008
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2020
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2025
"Long Beach, California",No,33.7700504,-118.1937395,,,2008
"Long Beach, California",No,33.7700504,-118.1937395,,,2018
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2020
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2025
"Long Beach, California",No,33.7700504,-118.1937395,,,2008
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2020
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2025
"Long Beach, California",No,33.7700504,-118.1937395,,,2007
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2008
"Long Beach, California",No,33.7700504,-118.1937395,,,2018
"Long Beach, California",No,33.7700504,-118.1937395,5470.0,1.0,2020
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2025
"Long Beach, California",No,33.7700504,-118.1937395,,,2007
"Long Beach, California",No,33.7700504,-118.1937395,,,2008
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2020
"Long Beach, California",No,33.7700504,-118.1937395,3818.39,4.0,2025
"Long Beach, California",No,33.7700504,-118.1937395,,,2008
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2020
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2025
"Long Beach, California",No,33.7700504,-118.1937395,,,2007
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2020
"Long Beach, California",No,33.7700504,-118.1937395,0.0,0.0,2025
"Long Beach, California",Yes,33.7700504,-118.1937395,,,2025
"Altadena, California",No,34.190162,-118.1313188,,,2008
"Altadena, California",No,34.190162,-118.1313188,0.0,0.0,2018
"Altadena, California",No,34.190162,-118.1313188,,,2020
"Altadena, California",No,34.190162,-118.1313188,13531.849999999999,2.0,2020
"Altadena, California",No,34.190162,-118.1313188,24693403.78,9145.0,2025
"Altadena, California",Yes,34.190162,-118.1313188,0.0,0.0,2025
"Arcadia, California",No,34.1397292,-118.0353449,,,2018
"Arcadia, California",No,34.1397292,-118.0353449,0.0,0.0,2020
"Arcadia, California",No,34.1397292,-118.0353449,121305.94,110.0,2025
"Arcadia, California",No,34.1397292,-118.0353449,,,2018
"Arcadia, California",No,34.1397292,-118.0353449,,,2018
"Arcadia, California",No,34.1397292,-118.0353449,0.0,0.0,2020
"Arcadia, California",No,34.1397292,-118.0353449,33661.3,15.0,2025
"Duarte, California",Yes,34.1394513,-117.9772873,941.99,2.0,2025
"Duarte, California",No,34.1394513,-117.9772873,4116.0,1.0,2020
"Duarte, California",No,34.1394513,-117.9772873,28261.71,11.0,2025
"La Canada Flintridge, California",No,34.2068182,-118.2000277,,,2018
"La Canada Flintridge, California",No,34.2068182,-118.2000277,0.0,0.0,2020
"La Canada Flintridge, California",No,34.2068182,-118.2000277,423659.49,519.0,2025
"Monrovia, California",No,34.1442616,-118.0019482,,,2018
"Monrovia, California",No,34.1442616,-118.0019482,,,2020
"Monrovia, California",No,34.1442616,-118.0019482,0.0,0.0,2020
"Monrovia, California",No,34.1442616,-118.0019482,82799.83,74.0,2025
"Montrose, California",Yes,34.206551,-118.224685,0.0,0.0,2020
"Montrose, California",Yes,34.206551,-118.224685,22841.45,16.0,2025
"Mount Wilson, California",Yes,34.2249455,-118.0564071,,,2025
"Sierra Madre, California",Yes,34.1616729,-118.0528456,0.0,0.0,2020
"Sierra Madre, California",Yes,34.1616729,-118.0528456,511045.19999999995,455.0,2025
"Sierra Madre, California",Yes,34.1616729,-118.0528456,,,2025
"South Pasadena, California",Yes,34.1161196,-118.1503488,,,2020
"South Pasadena, California",Yes,34.1161196,-118.1503488,36953.0,16.0,2025
"South Pasadena, California",Yes,34.1161196,-118.1503488,,,2025
"Sunland, California",No,34.2596694,-118.3114218,,,2008
"Sunland, California",No,34.2596694,-118.3114218,47872.91,9.0,2018
"Sunland, California",No,34.2596694,-118.3114218,0.0,0.0,2020
"Sunland, California",No,34.2596694,-118.3114218,21405.91,6.0,2025
"Tujunga, California",No,34.2596694,-118.3114218,0.0,0.0,2018
"Tujunga, California",No,34.2596694,-118.3114218,,,2020
"Tujunga, California",No,34.2596694,-118.3114218,17468.39,19.0,2025
"Verdugo City, California",Yes,34.2117216,-118.2406016,,,2025
"Arcadia, California",Yes,34.1397292,-118.0353449,,,2025
"Pasadena, California",No,34.1458012,-118.1488888,,,2008
"Pasadena, California",No,34.1458012,-118.1488888,,,2018
"Pasadena, California",No,34.1458012,-118.1488888,3210.0,1.0,2020
"Pasadena, California",No,34.1458012,-118.1488888,168491.31,71.0,2025
