city,after_2020_only,latitude,longitude,total_approved_Ihp_amount,total_approved_fema_assistance,declarationYear
"Duncan, Oklahoma",No,34.5023028,-97.9578128,,,2009
"Randlett, Oklahoma",No,34.1773143,-98.4636659,,,2006
"Walters, Oklahoma",No,34.3598075,-98.30782579999999,,,2006
Error,Yes,,,,,2020
"Bristow, Oklahoma",No,35.8306334,-96.39111799999999,,,2006
"Bristow, Oklahoma",No,35.8306334,-96.39111799999999,544334.7999999999,34.0,2012
"Cushing, Oklahoma",No,35.9850639,-96.76697,,,2006
"Depew, Oklahoma",No,35.8028493,-96.50612149999999,,,2006
"Drumright, Oklahoma",No,35.9884013,-96.60112939999999,,,2006
"Drumright, Oklahoma",No,35.9884013,-96.60112939999999,105902.43,4.0,2012
"Hominy, Oklahoma",No,36.4142357,-96.3952963,,,2006
"Jennings, Oklahoma",No,36.1811784,-96.56974559999999,,,2006
"Jennings, Oklahoma",No,36.1811784,-96.56974559999999,95167.44,4.0,2012
"Kellyville, Oklahoma",No,35.9436968,-96.2136136,,,2006
"Mannford, Oklahoma",No,36.1334101,-96.35445709999999,,,2006
"Mannford, Oklahoma",No,36.1334101,-96.35445709999999,4491046.0,237.0,2012
"Mounds, Oklahoma",No,35.8715222,-96.0606892,,,2006
"Owasso, Oklahoma",No,36.2695388,-95.8547119,,,2006
"Perkins, Oklahoma",No,35.9739448,-97.03364169999999,,,2006
"Sand Springs, Oklahoma",No,36.1398102,-96.108891,,,2006
"Sand Springs, Oklahoma",No,36.1398102,-96.108891,97991.92000000001,8.0,2012
"Sapulpa, Oklahoma",No,35.9987007,-96.1141664,,,2006
"Shamrock, Oklahoma",No,35.910069,-96.583905,,,2006
"Sperry, Oklahoma",No,36.2973134,-95.99138599999999,,,2006
"Stroud, Oklahoma",No,35.7486798,-96.6580726,,,2006
"Wynona, Oklahoma",No,36.5461806,-96.3272344,,,2006
"Yale, Oklahoma",No,36.1142305,-96.69919329999999,,,2006
"Tulsa, Oklahoma",No,36.1539816,-95.99277500000001,,,2006
"Chouteau, Oklahoma",No,36.1859301,-95.34302389999999,,,2006
"Pryor, Oklahoma",No,36.3084275,-95.31691359999999,,,2006
"Pryor, Oklahoma",No,36.3084275,-95.31691359999999,,,2006
"Salina, Oklahoma",No,36.2928692,-95.15329659999999,,,2006
"Spavinaw, Oklahoma",No,36.3911976,-95.04662770000002,,,2006
"Muskogee, Oklahoma",No,35.7478769,-95.3696909,,,2006
"Muskogee, Oklahoma",No,35.7478769,-95.3696909,,,2006
Error,No,,,,,2012
"Beggs, Oklahoma",No,35.7425976,-96.0702731,,,2006
"Checotah, Oklahoma",No,35.4700993,-95.5230356,,,2006
"Council Hill, Oklahoma",No,35.55658,-95.6531966,,,2006
"Coweta, Oklahoma",No,35.9517674,-95.65081400000001,,,2006
"Eufaula, Oklahoma",No,35.2873206,-95.58248460000002,,,2006
"Haskell, Oklahoma",No,35.8203784,-95.674149,,,2006
"Henryetta, Oklahoma",No,35.4398261,-95.98194289999999,,,2006
"Hitchita, Oklahoma",No,35.5198247,-95.75137989999999,,,2006
"Okmulgee, Oklahoma",No,35.6266957,-95.9515399,,,2006
"Oktaha, Oklahoma",No,35.5764881,-95.4749764,,,2006
"Porter, Oklahoma",No,35.8709334,-95.522476,,,2006
"Porum, Oklahoma",No,35.3562083,-95.2655231,,,2006
"Schulter, Oklahoma",No,35.5145495,-95.9566635,,,2006
"Wagoner, Oklahoma",No,35.9595442,-95.36941159999999,,,2006
"Mcalester, Oklahoma",No,34.9334298,-95.76971309999999,,,2006
"Hartshorne, Oklahoma",No,34.8450984,-95.55748109999999,,,2006
